
Network Stats for the last 13744 seconds:

Total Sent Spatial Packets: 631327
Total Requested to Send Spatial Packets: 733287
Total Sent Actor Motion Hints Packets: 79690
Percentage of Usual Bandwidth Used: 93.86%


Total Sent: 24281451, 0B (1382.62MB)
67  ClientboundMapItemDataPacket       473.32MB, Num 5445947, Avg 91B
174 SubChunkPacket                     384.00MB, Num 47149, Avg 8.34KB
108 SetScorePacket                     294.64MB, Num 14361945, Avg 21B
39  SetActorDataPacket                 54.06MB, Num 1871280, Avg 30B
63  PlayerListPacket                   32.14MB, Num 153, Avg 215.11KB
19  MovePlayerPacket                   29.12MB, Num 945939, Avg 32B
83  ResourcePackChunkDataPacket        28.18MB, Num 317, Avg 91.03KB
118 SpawnParticleEffectPacket          28.16MB, Num 672042, Avg 43B
136 ClientCacheMissResponsePacket      9.01MB, Num 15567, Avg 0.59KB
52  CraftingDataPacket                 8.44MB, Num 22, Avg 392.96KB
93  PlayerSkinPacket                   8.28MB, Num 26, Avg 325.92KB
76  AvailableCommandsPacket            7.13MB, Num 22, Avg 331.93KB
111 MoveActorDeltaPacket               7.13MB, Num 631327, Avg 11B
58  LevelChunkPacket                   4.77MB, Num 129398, Avg 38B
162 ItemRegistryPacket                 2.66MB, Num 22, Avg 123.66KB
13  AddActorPacket                     2.30MB, Num 3591, Avg 0.66KB
29  UpdateAttributesPacket             2.20MB, Num 7992, Avg 289B
49  InventoryContentPacket             1.92MB, Num 8673, Avg 232B
145 CreativeContentPacket              1.14MB, Num 22, Avg 52.85KB
123 LevelSoundEventPacket              0.70MB, Num 18649, Avg 39B
25  LevelEventPacket                   0.54MB, Num 35266, Avg 16B
313 JigsawStructureDataPacket          418.88KB, Num 22, Avg 19.04KB
199 UnlockedRecipesPacket              313.31KB, Num 42, Avg 7.46KB
12  AddPlayerPacket                    245.51KB, Num 458, Avg 0.54KB
40  SetActorMotionPacket               199.86KB, Num 12970, Avg 15B
56  BlockActorDataPacket               194.60KB, Num 1004, Avg 198B
119 AvailableActorIdentifiersPacket    193.38KB, Num 22, Avg 8.79KB
15  AddItemActorPacket                 159.16KB, Num 503, Avg 324B
122 BiomeDefinitionListPacket          159.11KB, Num 22, Avg 7.23KB
121 NetworkChunkPublisherUpdatePacket  120.15KB, Num 10235, Avg 12B
341 LocatorBarPacket                   117.29KB, Num 2909, Avg 41B
31  MobEquipmentPacket                 79.29KB, Num 3422, Avg 23B
44  AnimatePacket                      77.96KB, Num 5655, Avg 14B
21  UpdateBlockPacket                  66.62KB, Num 5217, Avg 13B
314 CurrentStructureFeaturePacket      65.11KB, Num 22225, Avg 3B
326 PlayerLocationPacket               63.50KB, Num 2764, Avg 23B
9   TextPacket                         37.38KB, Num 388, Avg 98B
165 SyncActorPropertyPacket            37.23KB, Num 264, Avg 144B
14  RemoveActorPacket                  29.68KB, Num 4358, Avg 6B
302 TrimDataPacket                     27.31KB, Num 22, Avg 1.24KB
320 CameraAimAssistPresetsPacket       23.59KB, Num 22, Avg 1.07KB
11  StartGamePacket                    23.49KB, Num 22, Avg 1.07KB
32  MobArmorEquipmentPacket            22.99KB, Num 911, Avg 25B
172 UpdateSubChunkBlocksPacket         21.41KB, Num 159, Avg 137B
